county,year,total_population,children_under_5,working_age,elderly_65plus,sex_ratio,dependency_ratio,child_dependency_ratio,elderly_dependency_ratio,pct_children,pct_elderly
Kiambu,2022,2939371.133728028,345169.5703125,1977692.912109375,71107.67474365234,97.73014326332616,21.04862906203966,17.45314291207869,3.595486149960969,11.742973398351324,2.419145848161948
Kilifi,2022,1641175.3186340332,231584.451171875,912090.1083984376,47044.2434387207,94.65751115333468,30.5483736798601,25.390523265132224,5.157850414727871,14.110890441895329,2.86649713193811
Kirinyaga,2022,916813.0349121094,86960.8505859375,614756.107421875,45612.28002929688,98.36251314403492,21.565158770233477,14.145585466507743,7.419573303725723,9.48512371383049,4.975090699236133
Kisii,2022,1289735.7019958496,149768.908203125,734340.22265625,43663.94613647461,92.1370040729294,26.3410403477445,20.395029930592937,5.946010417151563,11.6123720519917,3.385495653792107
Kisumu,2022,1282536.4592590332,160071.349609375,749403.53125,37588.5549621582,95.30746825206602,26.375630261821403,21.35983391249533,5.015796349326076,12.480842041859292,2.930798161003114
Kitui,2022,1174615.4018554688,133998.7177734375,665574.115234375,54983.96728515625,93.67260093922783,28.39393551115573,20.132801848258666,8.261133662897064,11.407880193105576,4.681018757143947
Kwale,2022,997802.5056304932,153532.72265625,528901.9306640625,28534.571060180664,96.72261381450411,34.423639461447266,29.028580490050786,5.395058971396474,15.387085298932526,2.85974137158036
Laikipia,2022,579367.0386962891,75376.86767578125,341744.72900390625,21004.20373535156,100.80823803271268,28.202650467223783,22.056482888700145,6.146167578523641,13.010209874106192,3.6253708499910378
Lamu,2022,171140.07635498047,22845.77392578125,100318.9990234375,5023.161804199219,112.79159975517142,27.78031679071026,22.77312787026892,5.00718892044134,13.349166608056384,2.9351171924103423
Machakos,2022,1648248.2909545898,176796.40625,1061463.00390625,61934.96673583984,101.3359552555364,22.490786029027248,16.65591787932111,5.834868149706142,10.72632122358262,3.757623598078779
Makueni,2022,1024344.6215820312,102696.107421875,620790.9248046875,51372.12841796875,98.90488021424466,24.81805543280397,16.542784908491555,8.275270524312415,10.025542699025234,5.015121604155832
Mandera,2022,954582.3293151855,180926.033203125,428401.7434082031,10305.708953857422,100.87250100092656,44.63841361513018,42.23279573134916,2.4056178837810225,18.953423675139764,1.079603994057873
Marsabit,2022,560661.2900085449,85112.2763671875,290257.5573730469,12636.069549560549,113.67578754618656,33.67641717976674,29.323018197179582,4.353398982587154,15.180694277268604,2.253779559021805
Meru,2022,1613930.7762451172,181831.2109375,991611.2578125,66771.65905761719,99.34629128635764,25.0705977807812,18.336944997843275,6.733652782937927,11.266357492763012,4.137207124395042
Migori,2022,1259232.4581298828,186816.830078125,657559.2216796875,30576.671997070312,93.03469639916742,33.060672698023964,28.41064712025708,4.650025577766884,14.83576990665975,2.428199162089618
Mombasa,2022,1379839.4620819092,171127.70703125,920985.5766601562,19373.20964050293,103.6793149290953,20.684462547457223,18.580932358552683,2.103530188904537,12.402001227958186,1.4040191031551257
Murang'a,2022,1074071.567199707,115306.5234375,662091.0625,67216.78594970703,98.84925369612702,27.567704765265127,17.41550822361388,10.152196541651252,10.735459997151246,6.258129160327089
Nairobi,2022,5403257.039672852,656913.84375,3733119.091796875,53284.94787597656,100.89374895797928,19.024273647914463,17.59691634787374,1.427357300040721,12.157738173969488,0.9861634840752048
Nakuru,2022,2498099.3149414062,321458.93359375,1509555.72265625,62855.48681640625,100.1674400699728,25.45877668787923,21.294936567701075,4.163840120178157,12.868140656821325,2.516132422776816
Nandi,2022,951627.3676757812,116060.658203125,555854.513671875,28689.00830078125,99.70709314780424,26.04092670719105,20.87968260551653,5.161244101674523,12.196019381681632,3.014731319765445
Narok,2022,1396488.1011657715,229202.662109375,701813.2958984375,25890.877532958984,100.4174611127639,36.347778124632406,32.65863776717959,3.6891403574528128,16.412790192629593,1.8539991505366635
Nyamira,2022,592736.7899780273,65239.43115234375,341373.9931640625,22033.935974121094,92.73792438565484,25.565323918662347,19.11083810095341,6.454485817708938,11.00647576722244,3.7173221481558265
Nyandarua,2022,643877.9651794434,72184.49072265625,391542.11328125,26494.66195678711,97.6992197545039,25.202691953741585,18.43594552773054,6.766746426011047,11.210896260837105,4.114857688817363
Nyeri,2022,759907.107421875,75167.826171875,493343.740234375,43948.322265625,97.8581423337545,24.14465589061918,15.23640010840407,8.90825578221511,9.891712478765426,5.783380868054753
Samburu,2022,363533.83238220215,60742.99169921875,179637.10766601562,8031.240829467773,102.6983699299731,38.28509232989475,33.814278401850665,4.470813928044084,16.709034012371223,2.209214140219035
Siaya,2022,1082969.0964355469,136432.189453125,590888.5712890625,48300.382568359375,90.98421598909154,31.26352090690772,23.08932615763564,8.174194749272083,12.597976239781351,4.459996386538993
Taita Taveta,2022,371740.1808776856,43406.96044921875,230508.83447265625,15769.411346435549,104.31779952526344,25.672062387992334,18.830931382097564,6.841131005894773,11.676693207264844,4.242051883980815
