county,year,sex,age_code,age_group,population
Kirinyaga,2021,female,35,35-39,39286.03125
Kisii,2021,female,35,35-39,33398.98046875
Kisumu,2021,female,35,35-39,34650.9765625
Kitui,2021,female,35,35-39,33970.98046875
Kwale,2021,female,35,35-39,25205.42578125
Laikipia,2021,female,35,35-39,17607.63671875
Lamu,2021,female,35,35-39,4486.6044921875
Machakos,2021,female,35,35-39,59137.0703125
Makueni,2021,female,35,35-39,31626.25
Mandera,2021,female,35,35-39,17741.466796875
Marsabit,2021,female,35,35-39,10416.564453125
Meru,2021,female,35,35-39,56771.453125
Migori,2021,female,35,35-39,27650.8515625
Mombasa,2021,female,35,35-39,50618.4140625
Murang'a,2021,female,35,35-39,37655.33984375
Nairobi,2021,female,35,35-39,213190.75
Nakuru,2021,female,35,35-39,78882.0390625
Nandi,2021,female,35,35-39,24523.498046875
Narok,2021,female,35,35-39,29765.775390625
Nyamira,2021,female,35,35-39,16304.724609375
Nyandarua,2021,female,35,35-39,21989.6640625
Nyeri,2021,female,35,35-39,29012.71484375
Samburu,2021,female,35,35-39,6889.8876953125
Siaya,2021,female,35,35-39,27801.375
TaitaTaveta,2021,female,35,35-39,11696.966796875
TanaRiver,2021,female,35,35-39,15487.5888671875
Tharaka-Nithi,2021,female,35,35-39,11267.36328125
TransNzoia,2021,female,35,35-39,26742.6328125
Turkana,2021,female,35,35-39,23915.439453125
UasinGishu,2021,female,35,35-39,39709.6328125
Vihiga,2021,female,35,35-39,15242.609375
Wajir,2021,female,35,35-39,19218.3671875
WestPokot,2021,female,35,35-39,13859.26953125
Baringo,2021,female,40,40-44,12731.0361328125
Bomet,2021,female,40,40-44,19358.5625
Bungoma,2021,female,40,40-44,45385.37109375
Busia,2021,female,40,40-44,20443.8359375
Elgeyo-Marakwet,2021,female,40,40-44,8714.46875
Embu,2021,female,40,40-44,19724.1015625
Garissa,2021,female,40,40-44,20106.005859375
HomaBay,2021,female,40,40-44,23612.955078125
Isiolo,2021,female,40,40-44,6401.17138671875
Kajiado,2021,female,40,40-44,33745.546875
Kakamega,2021,female,40,40-44,37072.3984375
Kericho,2021,female,40,40-44,20493.38671875
Kiambu,2021,female,40,40-44,85383.453125
Kilifi,2021,female,40,40-44,38817.34375
Kirinyaga,2021,female,40,40-44,32571.3125
Kisii,2021,female,40,40-44,28042.134765625
Kisumu,2021,female,40,40-44,26757.0078125
Kitui,2021,female,40,40-44,29273.322265625
Kwale,2021,female,40,40-44,22828.03515625
Laikipia,2021,female,40,40-44,14686.3173828125
Lamu,2021,female,40,40-44,3826.809326171875
Machakos,2021,female,40,40-44,46881.8203125
Makueni,2021,female,40,40-44,26819.94140625
Mandera,2021,female,40,40-44,13856.7470703125
Marsabit,2021,female,40,40-44,8430.0
Meru,2021,female,40,40-44,43790.25
Migori,2021,female,40,40-44,23410.61328125
Mombasa,2021,female,40,40-44,36412.59375
Murang'a,2021,female,40,40-44,32354.55078125
Nairobi,2021,female,40,40-44,140684.875
Nakuru,2021,female,40,40-44,60740.265625
Nandi,2021,female,40,40-44,21616.3203125
Narok,2021,female,40,40-44,25341.328125
Nyamira,2021,female,40,40-44,14634.87109375
Nyandarua,2021,female,40,40-44,18673.76953125
Nyeri,2021,female,40,40-44,24737.068359375
Samburu,2021,female,40,40-44,5578.876953125
Siaya,2021,female,40,40-44,23279.60546875
TaitaTaveta,2021,female,40,40-44,9587.3125
TanaRiver,2021,female,40,40-44,11880.462890625
Tharaka-Nithi,2021,female,40,40-44,9160.7958984375
TransNzoia,2021,female,40,40-44,24143.701171875
Turkana,2021,female,40,40-44,18054.4609375
UasinGishu,2021,female,40,40-44,31279.0
Vihiga,2021,female,40,40-44,13704.8125
Wajir,2021,female,40,40-44,14345.357421875
WestPokot,2021,female,40,40-44,11742.841796875
Baringo,2021,female,45,45-49,11741.8193359375
Bomet,2021,female,45,45-49,18227.419921875
Bungoma,2021,female,45,45-49,36923.7265625
Busia,2021,female,45,45-49,16341.19921875
Elgeyo-Marakwet,2021,female,45,45-49,8125.046875
Embu,2021,female,45,45-49,17473.18359375
Garissa,2021,female,45,45-49,11347.73828125
HomaBay,2021,female,45,45-49,19257.37890625
Isiolo,2021,female,45,45-49,4972.19189453125
Kajiado,2021,female,45,45-49,25704.888671875
Kakamega,2021,female,45,45-49,30207.43359375
Kericho,2021,female,45,45-49,18471.76953125
Kiambu,2021,female,45,45-49,67499.1015625
Kilifi,2021,female,45,45-49,26947.123046875
Kirinyaga,2021,female,45,45-49,28210.791015625
Kisii,2021,female,45,45-49,28161.5
Kisumu,2021,female,45,45-49,19381.25
Kitui,2021,female,45,45-49,28061.65234375
Kwale,2021,female,45,45-49,16654.78125
Laikipia,2021,female,45,45-49,12742.9931640625
Lamu,2021,female,45,45-49,3213.93310546875
Machakos,2021,female,45,45-49,36776.859375
Makueni,2021,female,45,45-49,26533.82421875
Mandera,2021,female,45,45-49,7544.359375
Marsabit,2021,female,45,45-49,6749.7763671875
Meru,2021,female,45,45-49,38524.4609375
Migori,2021,female,45,45-49,19804.83984375
Mombasa,2021,female,45,45-49,25550.08984375
Murang'a,2021,female,45,45-49,30409.076171875
Nairobi,2021,female,45,45-49,95032.4296875
Nakuru,2021,female,45,45-49,51454.46875
Nandi,2021,female,45,45-49,19179.08984375
Narok,2021,female,45,45-49,21358.146484375
Nyamira,2021,female,45,45-49,13429.443359375
Nyandarua,2021,female,45,45-49,17696.1796875
Nyeri,2021,female,45,45-49,22973.39453125
Samburu,2021,female,45,45-49,5213.03076171875
Siaya,2021,female,45,45-49,18988.9453125
TaitaTaveta,2021,female,45,45-49,8759.7431640625
TanaRiver,2021,female,45,45-49,9671.8203125
Tharaka-Nithi,2021,female,45,45-49,9048.2431640625
TransNzoia,2021,female,45,45-49,19093.71484375
Turkana,2021,female,45,45-49,13499.818359375
UasinGishu,2021,female,45,45-49,25911.990234375
Vihiga,2021,female,45,45-49,11909.083984375
Wajir,2021,female,45,45-49,7366.130859375
WestPokot,2021,female,45,45-49,10502.3916015625
Baringo,2021,female,50,50-54,9714.0751953125
Bomet,2021,female,50,50-54,11681.3740234375
Bungoma,2021,female,50,50-54,32909.3125
Busia,2021,female,50,50-54,16505.119140625
Elgeyo-Marakwet,2021,female,50,50-54,5861.6943359375
Embu,2021,female,50,50-54,15860.5703125
Garissa,2021,female,50,50-54,10959.76953125
HomaBay,2021,female,50,50-54,15818.7880859375
Isiolo,2021,female,50,50-54,4103.0146484375
Kajiado,2021,female,50,50-54,19613.439453125
Kakamega,2021,female,50,50-54,28969.775390625
Kericho,2021,female,50,50-54,12680.7177734375
Kiambu,2021,female,50,50-54,53721.25
Kilifi,2021,female,50,50-54,23307.146484375
Kirinyaga,2021,female,50,50-54,25722.28125
Kisii,2021,female,50,50-54,17262.35546875
Kisumu,2021,female,50,50-54,18294.38671875
Kitui,2021,female,50,50-54,21626.09765625
Kwale,2021,female,50,50-54,11471.88671875
Laikipia,2021,female,50,50-54,11499.4716796875
Lamu,2021,female,50,50-54,2520.91455078125
Machakos,2021,female,50,50-54,29828.11328125
Makueni,2021,female,50,50-54,19679.5234375
Mandera,2021,female,50,50-54,6523.896484375
Marsabit,2021,female,50,50-54,6287.37060546875
Meru,2021,female,50,50-54,27923.08203125
Migori,2021,female,50,50-54,15507.671875
Mombasa,2021,female,50,50-54,17394.5546875
Murang'a,2021,female,50,50-54,27566.646484375
Nairobi,2021,female,50,50-54,66083.5
Nakuru,2021,female,50,50-54,40705.84765625
Nandi,2021,female,50,50-54,14828.287109375
Narok,2021,female,50,50-54,15785.154296875
Nyamira,2021,female,50,50-54,8830.884765625
Nyandarua,2021,female,50,50-54,15994.345703125
Nyeri,2021,female,50,50-54,22758.6953125
Samburu,2021,female,50,50-54,3770.4794921875
Siaya,2021,female,50,50-54,19299.267578125
TaitaTaveta,2021,female,50,50-54,7302.1279296875
TanaRiver,2021,female,50,50-54,7978.95068359375
Tharaka-Nithi,2021,female,50,50-54,6575.2451171875
TransNzoia,2021,female,50,50-54,16397.51171875
Turkana,2021,female,50,50-54,10464.1904296875
UasinGishu,2021,female,50,50-54,18632.25390625
Vihiga,2021,female,50,50-54,12023.77734375
Wajir,2021,female,50,50-54,6330.20947265625
WestPokot,2021,female,50,50-54,7875.9521484375
Baringo,2021,female,55,55-59,7024.177734375
Bomet,2021,female,55,55-59,10553.248046875
Bungoma,2021,female,55,55-59,27814.23828125
Busia,2021,female,55,55-59,13667.08203125
Elgeyo-Marakwet,2021,female,55,55-59,5079.748046875
Embu,2021,female,55,55-59,12778.1953125
Garissa,2021,female,55,55-59,4325.53515625
HomaBay,2021,female,55,55-59,14980.4296875
Isiolo,2021,female,55,55-59,3461.05419921875
Kajiado,2021,female,55,55-59,12321.6611328125
Kakamega,2021,female,55,55-59,23797.962890625
Kericho,2021,female,55,55-59,11407.25390625
Kiambu,2021,female,55,55-59,35333.6640625
Kilifi,2021,female,55,55-59,17990.6875
Kirinyaga,2021,female,55,55-59,19640.806640625
Kisii,2021,female,55,55-59,20999.224609375
Kisumu,2021,female,55,55-59,15820.259765625
Kitui,2021,female,55,55-59,16693.732421875
Kwale,2021,female,55,55-59,9578.060546875
Laikipia,2021,female,55,55-59,8645.9990234375
Lamu,2021,female,55,55-59,2111.37451171875
Machakos,2021,female,55,55-59,23746.6796875
Makueni,2021,female,55,55-59,16283.9443359375
Mandera,2021,female,55,55-59,3599.97314453125
Marsabit,2021,female,55,55-59,4150.3154296875
